658.0 8.0 2.0
658.0 11.0 3.5
658.0 216.0 3.0
658.0 219.0 3.5
658.0 241.0 3.5
658.0 244.0 3.0
658.0 245.0 3.5
658.0 256.0 4.0
659.0 3.0 3.0
659.0 8.0 3.0
659.0 1174.0 3.5
660.0 6.0 3.0
660.0 205.0 3.0
660.0 210.0 3.5
660.0 213.0 3.5
660.0 215.0 4.0
660.0 217.0 3.0
660.0 220.0 3.0
660.0 243.0 3.5
660.0 249.0 2.5
660.0 255.0 2.0
661.0 212.0 2.0
661.0 213.0 1.5
661.0 233.0 2.0
661.0 234.0 2.5
661.0 243.0 1.0
661.0 244.0 3.5
661.0 245.0 1.5
661.0 257.0 2.0
662.0 5.0 4.0
662.0 7.0 3.5
662.0 13.0 3.0
662.0 69.0 3.0
662.0 1407.0 2.5
663.0 1.0 4.0
663.0 4.0 3.0
663.0 9.0 3.0
663.0 211.0 3.0
663.0 251.0 3.0
664.0 10.0 2.0
664.0 17.0 3.5
664.0 215.0 3.0
665.0 246.0 4.0
666.0 10.0 2.0
666.0 13.0 3.0
666.0 121.0 3.0
666.0 205.0 3.0
666.0 210.0 2.5
666.0 211.0 1.0
666.0 220.0 3.0
667.0 10.0 0.5
667.0 13.0 1.0
667.0 212.0 0.5
667.0 219.0 0.5
667.0 220.0 0.5
667.0 239.0 0.5
667.0 245.0 0.5
667.0 249.0 0.5
667.0 253.0 0.5
668.0 3.0 3.0
668.0 10.0 3.0
668.0 13.0 4.0
668.0 213.0 3.0
668.0 254.0 3.0
668.0 305.0 4.0
668.0 419.0 4.0
669.0 2.0 3.0
669.0 4.0 2.0
669.0 9.0 3.0
669.0 215.0 3.5
669.0 217.0 2.5
669.0 233.0 2.5
669.0 236.0 3.0
669.0 243.0 1.5
669.0 244.0 2.0
669.0 249.0 4.0
670.0 1.0 3.5
670.0 3.0 3.5
670.0 4.0 4.0
670.0 57.0 3.0
670.0 216.0 3.5
670.0 307.0 3.5
670.0 704.0 2.0
670.0 714.0 3.5
670.0 739.0 3.5
670.0 877.0 3.0
670.0 1049.0 3.5
670.0 1108.0 2.0
670.0 1137.0 2.5
670.0 1138.0 3.0
670.0 1156.0 3.5
670.0 1183.0 3.5
670.0 1219.0 3.0
670.0 1234.0 2.0
670.0 1295.0 3.0
670.0 1409.0 2.5
670.0 1411.0 3.5
670.0 1416.0 3.0
670.0 1419.0 2.5
670.0 1424.0 3.0
670.0 1429.0 3.0
670.0 1430.0 3.0
670.0 1437.0 3.5
670.0 1439.0 3.5
671.0 6.0 3.0
671.0 206.0 3.5
671.0 207.0 3.5
671.0 214.0 2.5
671.0 234.0 3.5
671.0 239.0 4.0
671.0 251.0 3.0
671.0 345.0 3.5
671.0 638.0 4.0
671.0 675.0 4.0
672.0 5.0 4.0
672.0 7.0 3.0
672.0 8.0 3.5
672.0 206.0 4.0
672.0 217.0 2.5
672.0 220.0 3.0
672.0 236.0 3.5
672.0 243.0 3.5
672.0 251.0 3.5
672.0 255.0 3.5
673.0 4.0 2.0
673.0 84.0 2.0
673.0 121.0 2.5
673.0 206.0 2.0
673.0 211.0 2.0
673.0 214.0 2.5
673.0 219.0 3.0
673.0 250.0 2.0
673.0 254.0 2.0
673.0 256.0 2.5
674.0 2.0 4.0
674.0 5.0 3.5
674.0 11.0 4.0
674.0 17.0 4.0
674.0 84.0 4.0
674.0 207.0 4.0
674.0 239.0 4.0
674.0 250.0 4.0
674.0 254.0 4.0
675.0 3.0 3.5
675.0 10.0 3.5
675.0 11.0 4.0
675.0 121.0 3.5
675.0 210.0 3.0
675.0 217.0 3.5
675.0 233.0 3.5
675.0 234.0 3.5
675.0 245.0 3.5
676.0 236.0 3.5
676.0 239.0 4.0
677.0 2.0 3.0
677.0 13.0 4.0
